bodyId,hemibrain_type,cell_type,neurotransmitter,outgoing_edges,outgoing_synapses,outgoing_mean_synapses,outgoing_median_synapses,outgoing_max_synapses,outgoing_synapse_sd,incoming_edges,incoming_synapses,incoming_mean_synapses,incoming_median_synapses,incoming_max_synapses,incoming_synapse_sd,total_edges,total_synapses,outgoing_incoming_edge_ratio,outgoing_incoming_synapse_ratio
722817260,DA1_lPN,DA1_lPN,acetylcholine,327,2288,6.996941896024465,3.0,68,9.20772497462158,296,2270,7.668918918918919,5.0,96,9.421496166413412,623,4558,1.1047297297297298,1.0079295154185022
754534424,DA1_lPN,DA1_lPN,acetylcholine,308,2216,7.194805194805195,3.0,74,9.927475066688023,284,2260,7.957746478873239,6.0,111,9.788125234712295,592,4476,1.0845070422535212,0.9805309734513274
754538881,DA1_lPN,DA1_lPN,acetylcholine,310,1908,6.15483870967742,3.0,76,8.39798244801704,270,2195,8.12962962962963,6.0,100,10.212329992572007,580,4103,1.1481481481481481,0.869248291571754
1734350788,DA1_lPN,DA1_lPN,acetylcholine,340,2018,5.935294117647059,2.0,61,8.029550230516657,301,1943,6.45514950166113,5.0,79,7.332267616109044,641,3961,1.1295681063122924,1.0386001029336078
1734350908,DA1_lPN,DA1_lPN,acetylcholine,352,2447,6.951704545454546,3.0,73,9.51624476698474,318,2199,6.915094339622642,5.0,97,8.81615729705069,670,4646,1.1069182389937107,1.1127785356980446
1765040289,DA1_lPN,DA1_lPN,acetylcholine,394,2175,5.520304568527918,2.0,84,8.177474423543888,297,2274,7.656565656565657,6.0,111,10.084938210320312,691,4449,1.3265993265993266,0.9564643799472295
5813039315,DA1_lPN,DA1_lPN,acetylcholine,334,2210,6.616766467065868,3.0,58,8.45105073833634,290,2130,7.344827586206897,5.0,109,9.494401417396935,624,4340,1.1517241379310346,1.0375586854460095
733316908,DA1_vPN,DA1_vPN,gaba,380,1552,4.08421052631579,2.0,57,6.02880186120618,311,2030,6.527331189710611,4.0,61,8.76310404662041,691,3582,1.2218649517684887,0.7645320197044335
818983130,DA2_lPN,DA2_lPN,acetylcholine,297,1353,4.555555555555555,2.0,24,5.069561169415992,183,503,2.748633879781421,2.0,28,3.3825969918356398,480,1856,1.6229508196721312,2.6898608349900597
1796817841,DA2_lPN,DA2_lPN,acetylcholine,296,1237,4.179054054054054,2.0,28,4.944269113656201,166,446,2.6867469879518073,2.0,13,2.306395381717769,462,1683,1.783132530120482,2.773542600896861
1796818119,DA2_lPN,DA2_lPN,acetylcholine,353,1599,4.529745042492918,2.0,26,5.072748514526438,188,724,3.851063829787234,2.0,28,4.353270199408607,541,2323,1.877659574468085,2.208563535911602
1797505019,DA2_lPN,DA2_lPN,acetylcholine,282,1110,3.9361702127659575,2.0,27,4.113535968372626,161,425,2.639751552795031,1.0,11,2.2900676710281287,443,1535,1.7515527950310559,2.611764705882353
1827516355,DA2_lPN,DA2_lPN,acetylcholine,306,1260,4.117647058823529,2.0,26,4.3161020308373,164,493,3.0060975609756095,2.0,18,2.97122591711673,470,1753,1.8658536585365855,2.5557809330628802
666135689,DA3_adPN,DA3_adPN,acetylcholine,289,1275,4.411764705882353,2.0,29,5.4141019569269275,232,904,3.896551724137931,2.0,22,4.486399476831205,521,2179,1.2456896551724137,1.4103982300884956
