analysis_type,condition,n_features,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,change_vs_reference,absolute_change_vs_reference,large_deviation_flag
Reference,All 16 raw features,16,0.9219211822660099,0.07591068471353421,0.8822872205766942,0.07343208880805138,0.0,0.0,False
Feature family,Outgoing_only,6,0.8544334975369458,0.12240738131308586,0.7669964374015429,0.1050615051522577,-0.06748768472906419,0.06748768472906419,False
Feature family,Incoming_only,6,0.8080049261083744,0.08324590263354181,0.7192130092130092,0.06534136563744944,-0.11391625615763556,0.11391625615763556,True
Feature family,Overall_only,2,0.7901477832512316,0.11044453485871199,0.6858386413107542,0.07527122349545108,-0.13177339901477836,0.13177339901477836,True
Feature family,Directionality_only,2,0.44827586206896547,0.04431358953281299,0.4352715369778827,0.043745159451542504,-0.4736453201970445,0.4736453201970445,True
Feature family,Outgoing_plus_incoming,12,0.9113300492610839,0.07752387244960492,0.8494721944721946,0.09466849857246487,-0.01059113300492609,0.01059113300492609,False
Feature family,Counts_only,6,0.8112068965517242,0.125964363440992,0.7291699335553066,0.10025792177160114,-0.11071428571428577,0.11071428571428577,True
Transformation,Log1p connectivity features,16,0.9113300492610836,0.06880727138537744,0.8783382991277728,0.07460229972922285,-0.010591133004926312,0.010591133004926312,False
Connectivity threshold,Minimum synapses = 2,16,0.9467980295566502,0.07284329206498238,0.8962203345222213,0.10352717445735038,0.024876847290640214,0.024876847290640214,False
Connectivity threshold,Minimum synapses = 3,16,0.939655172413793,0.07244975607435182,0.878898397200284,0.11338600943445641,0.017733990147783096,0.017733990147783096,False
Connectivity threshold,Minimum synapses = 5,16,0.8437192118226602,0.0454944677583686,0.7631114922813037,0.06346312214860507,-0.07820197044334976,0.07820197044334976,False
