feature,mean_coefficient,sd_coefficient,mean_absolute_coefficient,median_absolute_coefficient,dominant_coefficient_sign,sign_consistency
outgoing_mean_synapses,-2.0980254386297164,0.09140869529257313,2.0980254386297164,2.1101403043429015,negative,1.0
outgoing_median_synapses,-1.5213424176680508,0.05499967465950336,1.5213424176680508,1.535018474898032,negative,1.0
incoming_max_synapses,1.4062950012772402,0.24464805734994316,1.4062950012772402,1.3232991307090722,positive,1.0
outgoing_incoming_edge_ratio,0.8572290538819957,0.07024035625214173,0.8572290538819957,0.8461211979192776,positive,1.0
outgoing_synapse_sd,-0.6253118833469637,0.06597804561923769,0.6253118833469637,0.6105312569407265,negative,1.0
outgoing_synapses,-0.5592720244058726,0.051616255810107474,0.5592720244058726,0.553546647515915,negative,1.0
outgoing_incoming_synapse_ratio,-0.5183972699332707,0.21308705175680004,0.5183972699332707,0.4674927029980362,negative,1.0
incoming_edges,-0.4640119476305961,0.19242386019521504,0.4640119476305961,0.49665826419150616,negative,1.0
incoming_mean_synapses,-0.4279643001498411,0.30563304630309945,0.45722546504211986,0.47780870564006006,negative,0.8
incoming_synapse_sd,0.4471899427152879,0.13526997147659156,0.4471899427152879,0.48111526779891994,positive,1.0
total_synapses,-0.3624103299090883,0.030076088608023965,0.3624103299090883,0.3665787369519488,negative,1.0
total_edges,-0.30062237100051586,0.17278812672624722,0.30062237100051586,0.27863206910584887,negative,1.0
incoming_median_synapses,-0.0735710605674433,0.4053448224646893,0.29984703244124394,0.21245795521183347,negative,0.6
outgoing_edges,-0.20040467084195673,0.21102007956430074,0.23934331190238703,0.19745220065032104,negative,0.8
incoming_synapses,-0.0011112652990130146,0.14845810757701722,0.1259830749201776,0.12979949124342363,negative,0.6
outgoing_max_synapses,0.05028389410827927,0.13527658128368852,0.10215555114021786,0.1282983662596072,positive,0.6
