feature,mean_coefficient,sd_coefficient,mean_absolute_coefficient,dominant_coefficient_sign,sign_consistency,mean_permutation_importance,sd_permutation_importance,median_permutation_importance,permutation_rank,positive_importance_folds,positive_fold_fraction,stable_positive_importance,coefficient_rank,feature_family
outgoing_mean_synapses,-2.0980254386297164,0.09140869529257313,2.0980254386297164,negative,1.0,0.20785303776683092,0.12697985929207917,0.1928571428571429,1,5,1.0,True,1.0,Outgoing connectivity
outgoing_median_synapses,-1.5213424176680508,0.05499967465950336,1.5213424176680508,negative,1.0,0.11825944170771763,0.09541651458119282,0.08809523809523813,2,5,1.0,True,2.0,Outgoing connectivity
incoming_max_synapses,1.4062950012772402,0.24464805734994316,1.4062950012772402,positive,1.0,0.06539819376026278,0.012652799700038665,0.06853448275862078,3,5,1.0,True,3.0,Incoming connectivity
outgoing_incoming_edge_ratio,0.8572290538819957,0.07024035625214173,0.8572290538819957,positive,1.0,0.06128078817733995,0.07294814152512755,0.05416666666666673,4,4,0.8,True,4.0,Directionality
outgoing_synapse_sd,-0.6253118833469637,0.06597804561923769,0.6253118833469637,negative,1.0,0.020500821018062425,0.05164752288368706,-0.008620689655172382,5,2,0.4,False,5.0,Outgoing connectivity
incoming_mean_synapses,-0.4279643001498411,0.30563304630309945,0.45722546504211986,negative,0.8,0.020492610837438453,0.04976812465851923,0.0,6,2,0.4,False,9.0,Incoming connectivity
incoming_synapse_sd,0.4471899427152879,0.13526997147659156,0.4471899427152879,positive,1.0,0.020049261083743886,0.016941987969478947,0.016071428571428646,7,5,1.0,True,10.0,Incoming connectivity
outgoing_synapses,-0.5592720244058726,0.051616255810107474,0.5592720244058726,negative,1.0,0.010250410509031213,0.02729531086227998,0.0012931034482758675,8,3,0.6,False,6.0,Outgoing connectivity
outgoing_incoming_synapse_ratio,-0.5183972699332707,0.21308705175680004,0.5183972699332707,negative,1.0,0.010127257799671604,0.017203779178168028,0.008333333333333333,9,3,0.6,False,7.0,Directionality
outgoing_max_synapses,0.05028389410827927,0.13527658128368852,0.10215555114021786,positive,0.6,0.005541871921182289,0.008829475751227691,0.0,10,2,0.4,False,16.0,Outgoing connectivity
outgoing_edges,-0.20040467084195673,0.21102007956430074,0.23934331190238703,negative,0.8,0.0035591133004926286,0.01021322833730386,-0.0011494252873563168,11,2,0.4,False,14.0,Outgoing connectivity
total_synapses,-0.3624103299090883,0.030076088608023965,0.3624103299090883,negative,1.0,0.0017733990147783395,0.0171844530454427,-0.0005747126436781584,12,2,0.4,False,11.0,Overall connectivity
incoming_median_synapses,-0.0735710605674433,0.4053448224646893,0.29984703244124394,negative,0.6,2.0525451559950948e-05,0.00760414656571456,0.0,13,2,0.4,False,13.0,Incoming connectivity
incoming_synapses,-0.0011112652990130146,0.14845810757701722,0.1259830749201776,negative,0.6,-0.00012315270935960265,0.009282270961027437,0.0,14,2,0.4,False,15.0,Incoming connectivity
total_edges,-0.30062237100051586,0.17278812672624722,0.30062237100051586,negative,1.0,-0.005480295566502449,0.02184216195373041,-0.00476190476190473,15,1,0.2,False,12.0,Overall connectivity
incoming_edges,-0.4640119476305961,0.19242386019521504,0.4640119476305961,negative,1.0,-0.01048440065681443,0.04573321963727145,-0.0005747126436781473,16,2,0.4,False,8.0,Incoming connectivity
