feature,mean_permutation_importance,sd_permutation_importance,median_permutation_importance,mean_within_fold_permutation_sd,permutation_rank
outgoing_mean_synapses,0.20785303776683092,0.12697985929207917,0.1928571428571429,0.10722001338852487,1
outgoing_median_synapses,0.11825944170771763,0.09541651458119282,0.08809523809523813,0.08521144969550294,2
incoming_max_synapses,0.06539819376026278,0.012652799700038665,0.06853448275862078,0.05079619160165525,3
outgoing_incoming_edge_ratio,0.06128078817733995,0.07294814152512755,0.05416666666666673,0.043377513427452455,4
outgoing_synapse_sd,0.020500821018062425,0.05164752288368706,-0.008620689655172382,0.04401224934913243,5
incoming_mean_synapses,0.020492610837438453,0.04976812465851923,0.0,0.0442828342488791,6
incoming_synapse_sd,0.020049261083743886,0.016941987969478947,0.016071428571428646,0.019419968377540796,7
outgoing_synapses,0.010250410509031213,0.02729531086227998,0.0012931034482758675,0.03689827874869249,8
outgoing_incoming_synapse_ratio,0.010127257799671604,0.017203779178168028,0.008333333333333333,0.02125731308157816,9
outgoing_max_synapses,0.005541871921182289,0.008829475751227691,0.0,0.004273107728048136,10
outgoing_edges,0.0035591133004926286,0.01021322833730386,-0.0011494252873563168,0.01574653349522518,11
total_synapses,0.0017733990147783395,0.0171844530454427,-0.0005747126436781584,0.02339861869149027,12
incoming_median_synapses,2.0525451559950948e-05,0.00760414656571456,0.0,0.01781642666585194,13
incoming_synapses,-0.00012315270935960265,0.009282270961027437,0.0,0.006184145781070206,14
total_edges,-0.005480295566502449,0.02184216195373041,-0.00476190476190473,0.02562475520890904,15
incoming_edges,-0.01048440065681443,0.04573321963727145,-0.0005747126436781473,0.0337577031344799,16
