feature,coefficient_rank,permutation_rank,mean_absolute_coefficient,mean_permutation_importance
outgoing_mean_synapses,1.0,1,2.0980254386297164,0.20785303776683092
outgoing_median_synapses,2.0,2,1.5213424176680508,0.11825944170771763
incoming_max_synapses,3.0,3,1.4062950012772402,0.06539819376026278
outgoing_incoming_edge_ratio,4.0,4,0.8572290538819957,0.06128078817733995
outgoing_synapse_sd,5.0,5,0.6253118833469637,0.020500821018062425
incoming_mean_synapses,9.0,6,0.45722546504211986,0.020492610837438453
incoming_synapse_sd,10.0,7,0.4471899427152879,0.020049261083743886
outgoing_synapses,6.0,8,0.5592720244058726,0.010250410509031213
outgoing_incoming_synapse_ratio,7.0,9,0.5183972699332707,0.010127257799671604
outgoing_max_synapses,16.0,10,0.10215555114021786,0.005541871921182289
outgoing_edges,14.0,11,0.23934331190238703,0.0035591133004926286
total_synapses,11.0,12,0.3624103299090883,0.0017733990147783395
incoming_median_synapses,13.0,13,0.29984703244124394,2.0525451559950948e-05
incoming_synapses,15.0,14,0.1259830749201776,-0.00012315270935960265
total_edges,12.0,15,0.30062237100051586,-0.005480295566502449
incoming_edges,8.0,16,0.4640119476305961,-0.01048440065681443
