feature,mean_permutation_importance,permutation_rank,absolute_Cliffs_delta,positive_importance_folds,sign_consistency,connectivity_dimension,interpretation_category
outgoing_mean_synapses,0.20785303776683092,1,0.9622641509433962,5,1.0,Mean strength of outgoing synaptic connections,Strong and cross-fold consistent predictive signal
outgoing_median_synapses,0.11825944170771763,2,0.8977987421383647,5,1.0,Typical strength of outgoing synaptic connections,Strong and cross-fold consistent predictive signal
incoming_max_synapses,0.06539819376026278,3,0.3113207547169811,5,1.0,Strongest individual incoming connection,Strong and cross-fold consistent predictive signal
outgoing_incoming_edge_ratio,0.06128078817733995,4,0.08490566037735849,4,1.0,Balance between outgoing and incoming partner counts,Moderate predictive signal with partial stability
outgoing_synapse_sd,0.020500821018062425,5,0.8553459119496856,2,1.0,Heterogeneity of outgoing connection strengths,Weak or unstable predictive contribution
incoming_mean_synapses,0.020492610837438453,6,0.7138364779874213,2,0.8,Mean strength of incoming synaptic connections,Weak or unstable predictive contribution
incoming_synapse_sd,0.020049261083743886,7,0.5283018867924528,5,1.0,Heterogeneity of incoming connection strengths,Moderate predictive signal with partial stability
outgoing_synapses,0.010250410509031213,8,0.9339622641509434,3,1.0,Total outgoing synaptic weight,Moderate predictive signal with partial stability
outgoing_incoming_synapse_ratio,0.010127257799671604,9,0.3050314465408805,3,1.0,Balance between outgoing and incoming synaptic weight,Weak or unstable predictive contribution
outgoing_max_synapses,0.005541871921182289,10,0.8113207547169812,2,0.6,Strongest individual outgoing connection,Weak or unstable predictive contribution
outgoing_edges,0.0035591133004926286,11,0.8632075471698113,2,0.8,Number of distinct outgoing partners,Weak or unstable predictive contribution
total_synapses,0.0017733990147783395,12,0.9025157232704403,2,1.0,Overall synaptic weight,Weak or unstable predictive contribution
incoming_median_synapses,2.0525451559950948e-05,13,0.36477987421383645,2,0.6,Typical strength of incoming synaptic connections,Weak or unstable predictive contribution
incoming_synapses,-0.00012315270935960265,14,0.7987421383647799,2,0.6,Total incoming synaptic weight,Little evidence of predictive contribution
total_edges,-0.005480295566502449,15,0.8427672955974843,1,1.0,Overall number of distinct connectivity partners,Little evidence of predictive contribution
incoming_edges,-0.01048440065681443,16,0.7735849056603774,2,1.0,Number of distinct incoming partners,Little evidence of predictive contribution
