feature,ACh_median,GABA_median,Cliffs_delta_ACh_vs_GABA,absolute_Cliffs_delta
outgoing_mean_synapses,7.844965489627822,2.674945361354669,0.9622641509433962,0.9622641509433962
outgoing_synapses,3493.0,384.5,0.9339622641509434,0.9339622641509434
total_synapses,5569.0,891.5,0.9025157232704403,0.9025157232704403
outgoing_median_synapses,3.0,1.25,0.8977987421383647,0.8977987421383647
outgoing_edges,426.0,137.5,0.8632075471698113,0.8632075471698113
outgoing_synapse_sd,10.786821604287194,3.1562452939124785,0.8553459119496856,0.8553459119496856
total_edges,729.5,268.25,0.8427672955974843,0.8427672955974843
outgoing_max_synapses,85.0,19.5,0.8113207547169812,0.8113207547169812
incoming_synapses,2524.0,548.75,0.7987421383647799,0.7987421383647799
incoming_edges,306.0,134.0,0.7735849056603774,0.7735849056603774
incoming_mean_synapses,7.889830508474576,3.6906077348066297,0.7138364779874213,0.7138364779874213
incoming_synapse_sd,11.267877473664079,5.997524888237215,0.5283018867924528,0.5283018867924528
incoming_median_synapses,2.0,2.0,0.36477987421383645,0.36477987421383645
incoming_max_synapses,69.0,48.0,0.3113207547169811,0.3113207547169811
outgoing_incoming_synapse_ratio,1.4150395211200537,1.0242207970862593,0.3050314465408805,0.3050314465408805
outgoing_incoming_edge_ratio,1.4086140219560879,1.2913194538693302,0.08490566037735849,0.08490566037735849
