feature,mean_permutation_importance,permutation_rank,mean_absolute_coefficient,sign_consistency,positive_importance_folds,Cliffs_delta_ACh_vs_GABA,absolute_Cliffs_delta,type_level_separation_rank
outgoing_mean_synapses,0.20785303776683092,1,2.0980254386297164,1.0,5,0.9622641509433962,0.9622641509433962,1.0
outgoing_median_synapses,0.11825944170771763,2,1.5213424176680508,1.0,5,0.8977987421383647,0.8977987421383647,4.0
incoming_max_synapses,0.06539819376026278,3,1.4062950012772402,1.0,5,0.3113207547169811,0.3113207547169811,14.0
outgoing_incoming_edge_ratio,0.06128078817733995,4,0.8572290538819957,1.0,4,0.08490566037735849,0.08490566037735849,16.0
outgoing_synapse_sd,0.020500821018062425,5,0.6253118833469637,1.0,2,0.8553459119496856,0.8553459119496856,6.0
incoming_mean_synapses,0.020492610837438453,6,0.45722546504211986,0.8,2,0.7138364779874213,0.7138364779874213,11.0
incoming_synapse_sd,0.020049261083743886,7,0.4471899427152879,1.0,5,0.5283018867924528,0.5283018867924528,12.0
outgoing_synapses,0.010250410509031213,8,0.5592720244058726,1.0,3,0.9339622641509434,0.9339622641509434,2.0
outgoing_incoming_synapse_ratio,0.010127257799671604,9,0.5183972699332707,1.0,3,0.3050314465408805,0.3050314465408805,15.0
outgoing_max_synapses,0.005541871921182289,10,0.10215555114021786,0.6,2,0.8113207547169812,0.8113207547169812,8.0
outgoing_edges,0.0035591133004926286,11,0.23934331190238703,0.8,2,0.8632075471698113,0.8632075471698113,5.0
total_synapses,0.0017733990147783395,12,0.3624103299090883,1.0,2,0.9025157232704403,0.9025157232704403,3.0
incoming_median_synapses,2.0525451559950948e-05,13,0.29984703244124394,0.6,2,0.36477987421383645,0.36477987421383645,13.0
incoming_synapses,-0.00012315270935960265,14,0.1259830749201776,0.6,2,0.7987421383647799,0.7987421383647799,9.0
total_edges,-0.005480295566502449,15,0.30062237100051586,1.0,1,0.8427672955974843,0.8427672955974843,7.0
incoming_edges,-0.01048440065681443,16,0.4640119476305961,1.0,2,0.7735849056603774,0.7735849056603774,10.0
