fold,model,accuracy,balanced_accuracy,macro_f1,ACh_recall,GABA_recall,n_validation_neurons,n_validation_cell_types
1,DummyClassifier,0.8787878787878788,0.5,0.46774193548387094,1.0,0.0,33,14
1,LogisticRegression,0.8787878787878788,0.8232758620689655,0.7642857142857142,0.896551724137931,0.75,33,14
1,RandomForest,0.8787878787878788,0.7155172413793103,0.7155172413793103,0.9310344827586207,0.5,33,14
1,XGBoost,0.8484848484848485,0.6982758620689655,0.6783625730994152,0.896551724137931,0.5,33,14
2,DummyClassifier,0.8787878787878788,0.5,0.46774193548387094,1.0,0.0,33,14
2,LogisticRegression,0.9696969696969697,0.9827586206896552,0.935672514619883,0.9655172413793104,1.0,33,14
2,RandomForest,0.9696969696969697,0.875,0.9200968523002422,1.0,0.75,33,14
2,XGBoost,1.0,1.0,1.0,1.0,1.0,33,14
3,DummyClassifier,0.875,0.5,0.4666666666666667,1.0,0.0,32,13
3,LogisticRegression,0.9375,0.8571428571428572,0.8571428571428572,0.9642857142857143,0.75,32,13
3,RandomForest,0.9375,0.75,0.8160919540229885,1.0,0.5,32,13
3,XGBoost,0.96875,0.875,0.9197994987468672,1.0,0.75,32,13
4,DummyClassifier,0.8,0.5,0.4444444444444444,1.0,0.0,35,12
4,LogisticRegression,0.9428571428571428,0.9642857142857143,0.9189814814814814,0.9285714285714286,1.0,35,12
4,RandomForest,1.0,1.0,1.0,1.0,1.0,35,12
4,XGBoost,1.0,1.0,1.0,1.0,1.0,35,12
5,DummyClassifier,0.875,0.5,0.4666666666666667,1.0,0.0,32,12
5,LogisticRegression,0.96875,0.9821428571428572,0.9353535353535354,0.9642857142857143,1.0,32,12
5,RandomForest,1.0,1.0,1.0,1.0,1.0,32,12
5,XGBoost,1.0,1.0,1.0,1.0,1.0,32,12
