feature,RF_importance,XGB_importance,RF_rank,XGB_rank,mean_rank
outgoing_mean_synapses,0.2482231989179587,0.18074486,1.0,1.0,1.0
outgoing_synapse_sd,0.16546410844486265,0.12775217,2.0,4.0,3.0
outgoing_synapses,0.11372319479025818,0.14807658,3.0,3.0,3.0
outgoing_median_synapses,0.04553108770376282,0.15600973,6.0,2.0,4.0
outgoing_max_synapses,0.07818042023232138,0.04038695,5.0,8.0,6.5
total_synapses,0.10840002141259958,0.037199154,4.0,9.0,6.5
incoming_synapses,0.02722866164719414,0.06615996,10.0,5.0,7.5
outgoing_edges,0.03194682209127597,0.024356846,8.0,12.0,10.0
outgoing_incoming_edge_ratio,0.021811200241150717,0.044309188,14.0,7.0,10.5
incoming_max_synapses,0.01594872546764015,0.064746484,15.0,6.0,10.5
outgoing_incoming_synapse_ratio,0.024266570068481177,0.033898834,11.0,10.0,10.5
incoming_edges,0.028821304187271378,0.019154662,9.0,13.0,11.0
total_edges,0.03931150075564409,0.009646288,7.0,15.0,11.0
incoming_synapse_sd,0.02269409640027383,0.03039223,13.0,11.0,12.0
incoming_mean_synapses,0.023739567335539807,0.007105111,12.0,16.0,14.0
incoming_median_synapses,0.004709520303765412,0.010060967,16.0,14.0,15.0
